Orig. order,type,JEPG anchor,rhyme,regularized,subordinate,orthography,phonology,set,visual 1,visual 2,visual 3,visual 4,visual 5,visual 6,visual 7,visual 8,onset 1,onset 2,onset 3,onset 4,offset 1,offset 2,offset 3,offset 4,probe 1,probe 2,probe 3,probe 4,Comments
49,exception,nust,roost,dust,roost,blust,/blUst/,2,blewst,bloosed,bleust,bloowst,bluest,bleuwst,bliewst,blieused,snust,flust,grust,zust,bluft,blusk,blusp,blusht,chust,nust,tust,drust,
59,exception,nust,roost,dust,roost,pust,/pUst/,3,pewst,poost,peust,poowst,poest,peuwst,pouwst,poused,stust,shrust,glust,frust,puft,pusk,pusp,pudd,chust,nust,tust,drust,
40,exception,suff,roof,tough,roof,suff,/sUf/,1,souf,soof,cewf,seuf,seuff,souph,sooph,seuph,bruff,kluff,yuff,kruff,sush,sutch,suv,suk,smuff,druff,fuff,pluff,
50,exception,suff,roof,tough,roof,chuff,/CUf/,2,chouf,choof,chewf,cheuf,cheuff,chouph,chooph,cheuph,cluff,gluff,shuff,slhuff,chuss,chutch,chuv,chuk,smuff,druff,fuff,pluff,
60,exception,suff,roof,tough,roof,vuff,/vUf/,3,vouf,voof,vewf,veuf,veuff,vouph,vooph,veuph,fruff,truff,sluff,struff,vush,vutch,vuv,vuk,smuff,druff,fuff,pluff,
1,regular,blit,wit,wit,night,blit,/blit/,1,blitt,blitte,bliht,blihte,blytt,blytte,blyht,blyt,stit,shrit,thrit,prit,blish,blick,bliff,blith,krit,glit,plit,trit,
11,regular,blit,wit,wit,night,drit,/drit/,2,dritt,dritte,driht,drihte,drytt,drytte,dryht,dryt,skrit,sklit,yit,gwit,drish,driff,drith,driss,krit,glit,plit,trit,
21,regular,blit,wit,wit,night,smit,/smit/,3,smiit,smitte,smiht,smihtte,smitt,smytte,smihtt,smihte,rit,sprit,thit,strit,pwish,pwiff,pwith,pwick,krit,glit,plit,trit,
2,regular,grax,wax,wax,bakes,grax,/gr@ks/,1,graks,graxe,graques,gracs,gracks,gracques,graacks,grackes,spax,sklax,frax,drax,grakt,grav,grach,grasht,thax,skax,prax,chax,
12,regular,grax,wax,wax,bakes,glax,/gl@ks/,2,glaks,glaxe,glaques,glacs,glacks,glacques,glaacks,glackes,blax,nax,thrax,strax,glakt,glag,glasht,glats,thax,skax,prax,chax,
22,regular,grax,wax,wax,bakes,brax,/br@ks/,3,braks,braxe,braques,bracs,bracks,bracques,braacks,brackes,pwax,chrax,shrax,dwax,brakt,brast,brasht,brav,thax,skax,prax,chax,
3,regular,kleef,reef,reef,cliff,kleef,/klEf/,1,kleaf,klefe,kleaph,kleeph,kleif,kleiph,cleaf,cleaph,fleef,gleef,creef,sreef,kleep,kleesh,kleege,kleeth,bleef,freef,pleef,pheef,
13,regular,kleef,reef,reef,cliff,preef,/prEf/,2,preaf,prefe,preaph,preeph,preif,preiph,preefe,preaff,kreef,speef,shleef,steef,preep,preesh,preege,preeth,bleef,freef,pleef,pheef,
23,regular,kleef,reef,reef,cliff,smeef,/smEf/,3,smeaf,smefe,smeaph,smeeph,smeif,smeiph,psmeaf,psmeaph,sleef,treef,streef,threef,smeep,smeesh,smeege,smeeth,bleef,freef,pleef,pheef,
4,regular,krim,him,him,crime,krim,/krim/,1,krimn,chrym,chrimme,chrimn,krimme,kryme,krym,krymm,flim,shlim,shrim,thim,krin,krid,krish,kriv,blim,clim,drim,frim,
14,regular,krim,him,him,crime,plim,/plim/,2,plimn,plym,plimme,plimm,plymn,plyme,pliim,plymm,glim,nim,strim,chrim,plin,plif,plish,pliv,blim,clim,drim,frim,
24,regular,krim,him,him,crime,spim,/spim/,3,spimn,spymn,spihme,spihm,spimme,spyme,spym,spymm,sprim,lim,chim,pwim,spith,spirr,spish,spiv,blim,clim,drim,frim,
5,regular,nisp,lisp,lisp,nice+p,nisp,/nisp/,1,knisp,gnisp,knispe,gnispe,nispe,knysp,nysp,gnysp,sisp,disp,visp,shisp,nist,nisk,nism,nilt,bisp,kisp,risp,tisp,
15,regular,nisp,lisp,lisp,nice+p,fisp,/fisp/,2,pfisp,phisp,pfispe,phispe,fispe,pfysp,fysp,physp,brisp,slisp,frisp,snisp,fiff,fisk,fism,filt,bisp,kisp,risp,tisp,anchor close to fist.
25,regular,nisp,lisp,lisp,nice+p,chisp,/Cisp/,3,tchisp,chiisp,chispe,tchispe,chiispe,chysp,tchysp,chyspe,trisp,stisp,thisp,shrisp,chist,chisk,chism,chilt,bisp,kisp,risp,tisp,
6,regular,plig,big,big,lye+g,plig,/plig/,1,plieg,plygh,pligue,plihg,plyg,plygue,pligh,pligg,chig,kwig,stig,grig,plid,plip,plick,pliz,blig,clig,flig,slig,
16,regular,plig,big,big,lye+g,drig,/drig/,2,drieg,drygh,drigue,drihg,dryg,drygue,drigh,drigg,thrig,thig,strig,gwig,drid,drisp,drick,drin,blig,clig,flig,slig,
26,regular,plig,big,big,lye+g,snig,/snig/,3,snieg,snygh,snigue,snihg,snyg,snygue,snigh,snigg,crig,dwig,shrig,glig,snith,snift,snisl,snish,blig,clig,flig,slig,
7,regular,preld,weld,weld,field,preld,/preld/,1,prelled,prehled,prehlde,prelde,preald,prealde,preldt,prelld,treld,gleld,cleld,bleld,prelt,preln,prelm,prend,breld,creld,dreld,theld,
17,regular,preld,weld,weld,field,steld,/steld/,2,stelled,stehled,stehlde,stelde,steald,stealde,steldt,stelld,feld,greld,fleld,neld,stelt,steln,stelm,stend,breld,creld,dreld,theld,
27,regular,preld,weld,weld,field,freld,/freld/,3,frelled,frehled,frehlde,frelde,freald,frealde,freldt,freldd,skeld,shmeld,spreld,zeld,frelt,freln,frelm,fregh,breld,creld,dreld,theld,
8,regular,scark,dark,dark,rare+k,scark,/skark/,1,skarck,skarc,squark,squarck,squarque,skarque,scarque,skark,flark,smark,snark,splark,skarp,skart,skarsh,scarm,blark,frark,drark,slark,anchor close to scar?
18,regular,scark,dark,dark,rare+k,plark,/plark/,2,plarck,plarc,plarkh,plarcke,plahrc,plarque,plahrcke,plarcque,thark,trark,vark,dwark,plarp,plart,plarsh,plarm,blark,frark,drark,slark,
28,regular,scark,dark,dark,rare+k,crark,/crark/,3,crarck,crarc,craarc,krark,crarque,krarque,krarc,krairk,shrark,fark,tark,kraark,crarp,crart,crarsh,crarm,blark,frark,drark,slark,
9,regular,shing,wing,wing,nine+g,ning,/niN/,1,nieng,ningue,nyng,niyng,nyngue,ningh,nyngh,ninghe,shing,ching,ting,sping,nins,ninf,ninje,ninkt,fing,jing,ying,ving,
19,regular,shing,wing,wing,nine+g,hing,/hiN/,2,hieng,hingue,hyng,hiyng,hyngue,hingh,hyngh,hinghe,skling,spling,sking,sming,hins,hinf,hinje,hinkt,fing,jing,ying,ving,
29,regular,shing,wing,wing,nine+g,ging,/giN/,3,gieng,gingue,gyng,giyng,gyngue,gingh,gyngh,ginghe,tring,thring,pling,dring,gint,ginf,ginje,ginkt,fing,jing,ying,ving,
10,regular,slape,tape,tape,stop,slape,/slAp/,1,slaype,slaeype,slaipe,slaiype,sleype,sleipe,sleip,slayp,flape,spape,plape,wape,slake,slabe,slafe,slame,blape,bape,snape,smape,slape close to slave
20,regular,slape,tape,tape,stop,thape,/TAp/,2,thaype,thaeype,thaipe,thaiype,theype,theipe,theip,thayp,stape,prape,glape,klape,thake,thabe,thafe,thame,blape,bape,snape,smape,
30,regular,slape,tape,tape,stop,chape,/CAp/,3,chaype,chaeype,chaipe,chaiype,cheype,cheipe,cheip,chayp,splape,lape,strape,trape,flass,flabe,flafe,flath,blape,bape,snape,smape,
